dose,CFR_Cmax_MIC,CFR_AUC_MIC,CFR_combined
200,0.65625,0.64375,0.53125
250,0.6796875,0.6609375,0.625
300,0.7027027027027027,0.6641891891891891,0.6148648648648648
350,0.7044303797468354,0.6468354430379747,0.6139240506329113
400,0.7335227272727273,0.6823863636363637,0.6426136363636363
450,0.7557692307692307,0.7076923076923076,0.6673076923076923
500,0.7517857142857143,0.7124999999999999,0.6875
550,0.8117647058823529,0.776470588235294,0.7588235294117647
600,0.8854545454545454,0.7263636363636363,0.5363636363636364
650,0.904375,0.904375,0.7875
700,0.9091304347826087,0.9347826086956521,0.6291304347826087
750,0.912,0.8542857142857142,0.676
800,0.905,0.8428571428571427,0.7364285714285714
850,0.9105660377358491,0.8326415094339624,0.6988679245283019
900,0.9140506329113924,0.8132911392405062,0.7194936708860761
950,0.9157500000000001,0.8192499999999999,0.6975
1000,0.9147000000000001,0.8633,0.7312999999999998
1050,0.9147706422018349,0.8248623853211009,0.6917431192660551
1100,0.9261538461538462,0.8857142857142856,0.735934065934066
1150,0.9196969696969697,0.8666666666666666,0.7790909090909092
1200,0.9266666666666666,0.8848809523809522,0.7285714285714285
1250,0.9334328358208955,0.8656716417910446,0.6973134328358209
1300,0.9315,0.9061666666666666,0.752
1350,0.9233333333333333,0.8588095238095238,0.7321428571428571
1400,0.9362962962962963,0.8548148148148148,0.7848148148148147
1450,0.9413636363636364,0.8972727272727273,0.8436363636363636
1500,0.9416216216216217,0.7927027027027026,0.581081081081081
1550,0.9583333333333334,0.7975,0.6333333333333333
1600,0.9420000000000001,0.8470000000000001,0.8230000000000001
1650,0.9233333333333333,0.9466666666666667,0.9233333333333333
1700,0.97,0.97,0.97
1750,0.9,0.6233333333333333,0.6
1900,0.97,0.97,0.97
1950,0.97,0.97,0.0
